       City            P     W    L   D    F      A     P
    1. Ajaxxx          38    26   9   3    79  -  36    87
    2. Chaves          38    24   8   6    67  -  30    80
    3. SL Benifica     38    24   5   9    87  -  45    77
    4. Vitesse         38    21   8   9    74  -  52    71
    5. FC Utreg        38    18  12   8    53  -  37    66
    6. Dalfsen         38    17  13   8    66  -  38    64
    7. Den_Hame        38    15   8  15    48  -  57    53
    8. München         38    12  14  12    46  -  47    50
    9. Blaubergs       38    14   8  16    49  -  53    50
   10. SC Braga        38    12  10  16    55  -  51    46
   -------------------------------------------------------
   11. Ipstrak         38     9   9  20    41  -  64    36
   12. Kornh           38     8   6  24    33  -  63    30
   13. Feyenoord       38     5  13  20    63  -  64    28
